City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,vila franca do campo,37.7167,-25.4333,20.23,99,100,10.21,PT,1730854581
264,renqiu,38.6989,116.0936,10.05,34,0,1.62,CN,1730854582
265,bel ombre,-4.6167,55.4167,25.91,89,20,1.03,SC,1730854583
266,kiunga,-6.1219,141.2906,29.1,71,85,1.34,PG,1730854584
267,kavieng,-2.5744,150.7967,29.97,66,73,2.99,PG,1730854585
268,selfoss,63.9331,-20.9971,10.02,96,100,9.86,IS,1730854587
269,skovorodino,53.9833,123.9167,-11.41,67,7,0.16,RU,1730854588
270,sabha,27.0377,14.4283,16.94,55,0,4.05,LY,1730854589
271,kirakira,-10.4544,161.9205,28.9,77,100,3.82,SB,1730854590
272,paide,58.8856,25.5572,6.18,96,40,3.12,EE,1730854591
273,valky,49.8387,35.6207,0.36,97,100,5.55,UA,1730854592
274,camocim,-2.9022,-40.8411,25.87,75,81,7.14,BR,1730854593
275,shingu,33.7333,135.9833,19.03,56,0,4.01,JP,1730854594
276,saudarkrokur,65.7461,-19.6394,8.31,82,58,5.36,IS,1730854595
277,dunedin,-45.8742,170.5036,14.32,76,4,2.74,NZ,1730854597
278,hammerfest,70.6634,23.6821,5.25,75,75,7.2,NO,1730854598
279,saint-philippe,-21.3585,55.7679,22.8,81,39,3.55,RE,1730854599
280,hami,42.8,93.45,8.8,36,34,1.96,CN,1730854600
281,thunder bay,48.4001,-89.3168,5.99,75,100,3.09,CA,1730854601
282,gorey,52.6747,-6.2925,12.65,97,99,2.85,IE,1730854602
283,nuuk,64.1835,-51.7216,-8.4,78,0,3.58,GL,1730854603
284,minas de matahambre,22.5887,-83.9447,24.79,89,20,3.94,CU,1730854604
285,mount gambier,-37.8333,140.7667,19.97,56,100,5.24,AU,1730854409
286,buala,-8.145,159.5921,29.3,75,100,4.1,SB,1730854607
287,fort st. john,56.2499,-120.8529,0.94,69,75,4.63,CA,1730854608
288,minas de marcona,-15.2119,-75.1103,13.8,88,38,6.62,PE,1730854609
289,east london,-33.0153,27.9116,14.86,63,64,3.49,ZA,1730854610
290,kirensk,57.7853,108.1119,-7.16,96,26,1.87,RU,1730854611
291,fonte boa,-2.4959,-66.2662,24.7,91,100,1.93,BR,1730854612
292,kastsyukovichy,53.3516,32.0506,5.06,95,100,6.03,BY,1730854613
293,katsuura,35.1333,140.3,15.67,91,100,6.53,JP,1730854614
294,kelso,46.1468,-122.9084,10.92,85,100,2.06,US,1730854429
295,bouarfa,32.53,-1.95,14.91,42,0,0.62,MA,1730854617
296,mont-laurier,46.5501,-75.4993,15.99,87,100,6.47,CA,1730854618
297,lensk,60.7253,114.9278,-1.85,94,100,5.32,RU,1730854619
298,amqui,48.4638,-67.4313,7.02,99,100,0.62,CA,1730854620
299,plonsk,52.6235,20.3755,-2.98,56,8,1.73,PL,1730854621
300,bratsk,56.1325,101.6142,-1.73,93,78,1.18,RU,1730854622
301,at taj,24.2049,23.2857,15.19,55,0,4.58,LY,1730854623
302,balaklava,44.5,33.6,2.43,50,0,3.18,UA,1730854624
303,chauk,20.8833,94.8167,24.59,81,100,3.23,MM,1730854625
304,sisimiut,66.9395,-53.6735,-9.49,90,55,3.35,GL,1730854627
305,axim,4.8699,-2.2405,25.45,85,2,1.97,GH,1730854628
306,yorkton,51.2167,-102.4677,2.91,65,100,7.2,CA,1730854629
307,lobujya,27.95,86.8167,-11.29,66,1,5.74,NP,1730854630
308,yuzhno-kurilsk,44.0306,145.8556,4.94,83,100,1.65,RU,1730854631
309,antalaha,-14.9003,50.2788,22.17,90,40,2.48,MG,1730854632
310,alpena,45.0617,-83.4327,17.18,99,100,3.6,US,1730854633
311,milharado,38.9473,-9.1991,18.12,95,75,1.54,PT,1730854635
312,tchollire,8.4022,14.1698,21.62,49,87,0.96,CM,1730854636
313,bac lieu,9.285,105.7244,27.9,79,96,4.54,VN,1730854638
314,salalah,17.0151,54.0924,24.57,78,0,0.69,OM,1730854640
315,gdynia,54.5189,18.5319,6.18,84,8,1.57,PL,1730854641
316,koudougou,12.25,-2.3667,23.58,22,20,3.8,BF,1730854642
317,mejit,10.2753,170.8646,28.69,81,99,8.95,MH,1730854643
318,greymouth,-42.4667,171.2,16.63,87,84,4.64,NZ,1730854644
319,ambodifotatra,-16.9833,49.85,25.06,78,88,3.3,MG,1730854645
320,luwuk,-0.9516,122.7875,28.54,55,100,1.87,ID,1730854646
321,nenjiang,49.1833,125.2167,-6.4,49,0,1.57,CN,1730854648
322,lijiang,26.8688,100.2207,9.48,93,100,1.02,CN,1730854649
323,kilindoni,-7.9139,39.6668,26.34,79,77,3.03,TZ,1730854650
324,grenaa,56.4158,10.8783,9.12,97,93,2.3,DK,1730854651
325,srivardhan,18.0333,73.0167,24.73,58,0,2.92,IN,1730854652
326,cooper's town,26.8667,-77.5167,25.72,90,7,10.7,BS,1730854653
327,phan rang-thap cham,11.5667,108.9833,27.55,72,29,2.51,VN,1730854654
328,envira,-7.3,-70.2167,27.47,58,2,1.24,BR,1730854655
329,daru,-9.0763,143.2092,27.63,84,95,6.91,PG,1730854656
330,panama city beach,30.1766,-85.8055,26.11,77,40,1.54,US,1730854552
331,bandraboua,-12.7044,45.1223,27.82,80,25,5.19,YT,1730854659
332,camalu,30.85,-116.0667,16.89,43,0,2.9,MX,1730854660
333,zimapan,20.75,-99.35,17.2,91,6,3.0,MX,1730854662
334,san pedro pochutla,15.7333,-96.4667,28.17,93,20,2.44,MX,1730854663
335,bielsk podlaski,52.7651,23.1865,1.81,60,8,2.55,PL,1730854664
336,revda,56.801,59.9303,-4.24,94,100,3.7,RU,1730854665
337,ilebo,-4.3167,20.5833,20.92,99,63,0.32,CD,1730854667
338,mazyr,52.0495,29.2456,3.1,82,92,5.81,BY,1730854668
339,veternik,45.2533,19.7594,6.37,52,31,2.53,RS,1730854669
340,vredendal,-31.6683,18.5012,16.43,47,14,4.16,ZA,1730854670
